GEO.id,GEO.id2,GEO.display+AC0-label,total+AF8-households,total+AF8-owners,total+AF8-renters
1400000US36005027401,36005027401,+ACI-Census Tract 274.01, Bronx County, New York+ACI-,1651,1086,565
1400000US36005027402,36005027402,+ACI-Census Tract 274.02, Bronx County, New York+ACI-,1302,677,625
1400000US36005027600,36005027600,+ACI-Census Tract 276, Bronx County, New York+ACI-,18,11,7
1400000US36005027700,36005027700,+ACI-Census Tract 277, Bronx County, New York+ACI-,1748,286,1462
1400000US36005027900,36005027900,+ACI-Census Tract 279, Bronx County, New York+ACI-,2605,607,1998
1400000US36005028100,36005028100,+ACI-Census Tract 281, Bronx County, New York+ACI-,1652,1063,589
1400000US36005028300,36005028300,+ACI-Census Tract 283, Bronx County, New York+ACI-,1281,41,1240
1400000US36005028400,36005028400,+ACI-Census Tract 284, Bronx County, New York+ACI-,41,12,29
1400000US36005028500,36005028500,+ACI-Census Tract 285, Bronx County, New York+ACI-,1523,255,1268
1400000US36005028600,36005028600,+ACI-Census Tract 286, Bronx County, New York+ACI-,430,226,204
1400000US36005028700,36005028700,+ACI-Census Tract 287, Bronx County, New York+ACI-,1134,284,850
1400000US36005028800,36005028800,+ACI-Census Tract 288, Bronx County, New York+ACI-,1141,661,480
1400000US36005028900,36005028900,+ACI-Census Tract 289, Bronx County, New York+ACI-,1776,177,1599
1400000US36005029301,36005029301,+ACI-Census Tract 293.01, Bronx County, New York+ACI-,880,668,212
1400000US36005029302,36005029302,+ACI-Census Tract 293.02, Bronx County, New York+ACI-,2567,1452,1115
1400000US36005029500,36005029500,+ACI-Census Tract 295, Bronx County, New York+ACI-,1833,788,1045
1400000US36005029600,36005029600,+ACI-Census Tract 296, Bronx County, New York+ACI-,655,112,543
1400000US36005029700,36005029700,+ACI-Census Tract 297, Bronx County, New York+ACI-,1546,857,689
1400000US36005030000,36005030000,+ACI-Census Tract 300, Bronx County, New York+ACI-,2600,667,1933
1400000US36005030100,36005030100,+ACI-Census Tract 301, Bronx County, New York+ACI-,483,225,258
1400000US36005030200,36005030200,+ACI-Census Tract 302, Bronx County, New York+ACI-,4213,2010,2203
1400000US36005030701,36005030701,+ACI-Census Tract 307.01, Bronx County, New York+ACI-,2470,1081,1389
1400000US36005030900,36005030900,+ACI-Census Tract 309, Bronx County, New York+ACI-,1317,694,623
1400000US36005031000,36005031000,+ACI-Census Tract 310, Bronx County, New York+ACI-,1175,924,251
1400000US36005031200,36005031200,+ACI-Census Tract 312, Bronx County, New York+ACI-,605,468,137
1400000US36005031400,36005031400,+ACI-Census Tract 314, Bronx County, New York+ACI-,669,509,160
1400000US36005031600,36005031600,+ACI-Census Tract 316, Bronx County, New York+ACI-,625,422,203
1400000US36005031800,36005031800,+ACI-Census Tract 318, Bronx County, New York+ACI-,583,317,266
1400000US36005031900,36005031900,+ACI-Census Tract 319, Bronx County, New York+ACI-,0,0,0
1400000US36005032300,36005032300,+ACI-Census Tract 323, Bronx County, New York+ACI-,2345,1447,898
1400000US36005032400,36005032400,+ACI-Census Tract 324, Bronx County, New York+ACI-,1212,88,1124
1400000US36005032600,36005032600,+ACI-Census Tract 326, Bronx County, New York+ACI-,1006,552,454
1400000US36005032800,36005032800,+ACI-Census Tract 328, Bronx County, New York+ACI-,1359,188,1171
1400000US36005033000,36005033000,+ACI-Census Tract 330, Bronx County, New York+ACI-,2011,111,1900
1400000US36005033201,36005033201,+ACI-Census Tract 332.01, Bronx County, New York+ACI-,1779,247,1532
1400000US36005033202,36005033202,+ACI-Census Tract 332.02, Bronx County, New York+ACI-,1558,222,1336
1400000US36005033400,36005033400,+ACI-Census Tract 334, Bronx County, New York+ACI-,605,115,490
1400000US36005033500,36005033500,+ACI-Census Tract 335, Bronx County, New York+ACI-,738,392,346
1400000US36005033600,36005033600,+ACI-Census Tract 336, Bronx County, New York+ACI-,2620,294,2326
1400000US36005033700,36005033700,+ACI-Census Tract 337, Bronx County, New York+ACI-,880,491,389
1400000US36005033800,36005033800,+ACI-Census Tract 338, Bronx County, New York+ACI-,1355,202,1153
1400000US36005034000,36005034000,+ACI-Census Tract 340, Bronx County, New York+ACI-,1709,317,1392
1400000US36005034200,36005034200,+ACI-Census Tract 342, Bronx County, New York+ACI-,577,269,308
1400000US36005034300,36005034300,+ACI-Census Tract 343, Bronx County, New York+ACI-,526,234,292
1400000US36005034400,36005034400,+ACI-Census Tract 344, Bronx County, New York+ACI-,570,319,251
1400000US36005034500,36005034500,+ACI-Census Tract 345, Bronx County, New York+ACI-,1375,606,769
1400000US36005034800,36005034800,+ACI-Census Tract 348, Bronx County, New York+ACI-,2092,670,1422
1400000US36005035000,36005035000,+ACI-Census Tract 350, Bronx County, New York+ACI-,613,318,295
1400000US36005035100,36005035100,+ACI-Census Tract 351, Bronx County, New York+ACI-,1043,425,618
1400000US36005035600,36005035600,+ACI-Census Tract 356, Bronx County, New York+ACI-,647,444,203
1400000US36005035800,36005035800,+ACI-Census Tract 358, Bronx County, New York+ACI-,2429,1395,1034
1400000US36005035900,36005035900,+ACI-Census Tract 359, Bronx County, New York+ACI-,694,38,656
1400000US36005036000,36005036000,+ACI-Census Tract 360, Bronx County, New York+ACI-,921,546,375
1400000US36005036100,36005036100,+ACI-Census Tract 361, Bronx County, New York+ACI-,2152,28,2124
1400000US36005036300,36005036300,+ACI-Census Tract 363, Bronx County, New York+ACI-,2533,116,2417
1400000US36005036400,36005036400,+ACI-Census Tract 364, Bronx County, New York+ACI-,822,445,377
1400000US36005036501,36005036501,+ACI-Census Tract 365.01, Bronx County, New York+ACI-,1312,68,1244
1400000US36005036502,36005036502,+ACI-Census Tract 365.02, Bronx County, New York+ACI-,663,83,580
1400000US36005036700,36005036700,+ACI-Census Tract 367, Bronx County, New York+ACI-,658,66,592
1400000US36005036800,36005036800,+ACI-Census Tract 368, Bronx County, New York+ACI-,628,272,356
1400000US36005036901,36005036901,+ACI-Census Tract 369.01, Bronx County, New York+ACI-,774,0,774
1400000US36005036902,36005036902,+ACI-Census Tract 369.02, Bronx County, New York+ACI-,704,45,659
1400000US36005037000,36005037000,+ACI-Census Tract 370, Bronx County, New York+ACI-,796,371,425
1400000US36005037100,36005037100,+ACI-Census Tract 371, Bronx County, New York+ACI-,1691,203,1488
1400000US36005037200,36005037200,+ACI-Census Tract 372, Bronx County, New York+ACI-,709,228,481
1400000US36005037300,36005037300,+ACI-Census Tract 373, Bronx County, New York+ACI-,1795,382,1413
1400000US36005037400,36005037400,+ACI-Census Tract 374, Bronx County, New York+ACI-,1463,137,1326
1400000US36005037504,36005037504,+ACI-Census Tract 375.04, Bronx County, New York+ACI-,1249,55,1194
1400000US36005037600,36005037600,+ACI-Census Tract 376, Bronx County, New York+ACI-,721,194,527
1400000US36005037800,36005037800,+ACI-Census Tract 378, Bronx County, New York+ACI-,1057,164,893
1400000US36005037900,36005037900,+ACI-Census Tract 379, Bronx County, New York+ACI-,1527,65,1462
1400000US36005038000,36005038000,+ACI-Census Tract 380, Bronx County, New York+ACI-,1733,426,1307
1400000US36005038100,36005038100,+ACI-Census Tract 381, Bronx County, New York+ACI-,2230,133,2097
1400000US36005038200,36005038200,+ACI-Census Tract 382, Bronx County, New York+ACI-,837,421,416
1400000US36005038301,36005038301,+ACI-Census Tract 383.01, Bronx County, New York+ACI-,1509,18,1491
1400000US36005038302,36005038302,+ACI-Census Tract 383.02, Bronx County, New York+ACI-,1883,9,1874
1400000US36005038500,36005038500,+ACI-Census Tract 385, Bronx County, New York+ACI-,1607,158,1449
1400000US36005038600,36005038600,+ACI-Census Tract 386, Bronx County, New York+ACI-,2489,545,1944
1400000US36005038700,36005038700,+ACI-Census Tract 387, Bronx County, New York+ACI-,1176,84,1092
1400000US36005038800,36005038800,+ACI-Census Tract 388, Bronx County, New York+ACI-,817,354,463
1400000US36005038900,36005038900,+ACI-Census Tract 389, Bronx County, New York+ACI-,1721,64,1657
1400000US36005039000,36005039000,+ACI-Census Tract 390, Bronx County, New York+ACI-,1006,250,756
1400000US36005039100,36005039100,+ACI-Census Tract 391, Bronx County, New York+ACI-,2359,164,2195
